,0,1,2,3,4,5
0,Short,8/18/2017 21:00,4293.09,3 days 14:22:33.046237200,3975.69,317.4
1,Short,8/18/2017 21:00,4293.09,3 days 14:22:33.046237200,3975.69,317.4
2,Long,8/25/2017 16:00,4108.37,2 days 16:07:30.767455200,4447.31,338.94
3,Long,8/25/2017 16:00,4108.37,2 days 16:07:30.767455200,4447.31,338.94
4,Short,9/4/2017 17:00,4307.17,5 days 06:10:17.685159600,3972.53,334.64
5,Short,9/4/2017 17:00,4307.17,5 days 06:10:17.685159600,3972.53,334.64
6,Short,9/5/2017 1:00,4115.03,5 days 23:07:10.143886800,3620.0,495.03
7,Short,9/5/2017 1:00,4115.03,5 days 23:07:10.143886800,3620.0,495.03
8,Short,9/14/2017 9:00,4054.11,3 days 16:01:36.036897600,3761.01,293.1
9,Short,9/14/2017 9:00,4054.11,3 days 16:01:36.036897600,3761.01,293.1
10,Short,9/14/2017 17:00,3671.14,4 days 12:39:37.764140400,3325.27,345.87
11,Short,9/14/2017 17:00,3671.14,4 days 12:39:37.764140400,3325.27,345.87
12,Short,9/14/2017 23:00,3442.28,4 days 18:58:23.385003600,3189.02,253.26
13,Short,9/14/2017 23:00,3442.28,4 days 18:58:23.385003600,3189.02,253.26
14,Long,9/15/2017 14:00,3407.0,6 days 15:46:22.684501200,3780.0,373.0
15,Long,9/15/2017 14:00,3407.0,6 days 15:46:22.684501200,3780.0,373.0
16,Long,9/27/2017 16:00,3830.0,1 days 19:59:49.112440800,4110.0,280.0
17,Long,9/27/2017 16:00,3830.0,1 days 19:59:49.112440800,4110.0,280.0
18,Long,10/2/2017 5:00,4156.5,2 days 09:52:24.814880400,4458.48,301.98
19,Long,10/2/2017 5:00,4156.5,2 days 09:52:24.814880400,4458.48,301.98
20,Long,10/9/2017 19:00,4469.98,2 days 01:26:05.328772800,4787.49,317.51
21,Long,10/9/2017 19:00,4469.98,2 days 01:26:05.328772800,4787.49,317.51
22,Short,11/27/2017 4:00,4786.95,5 days 22:00:56.356135200,9543.99,-4757.04
23,Short,11/27/2017 4:00,4786.95,5 days 22:00:56.356135200,9543.99,-4757.04
24,Short,12/16/2017 14:00,9295.02,12 days 13:59:17.939774400,18540.0,-9244.98
25,Short,12/16/2017 14:00,9295.02,12 days 13:59:17.939774400,18540.0,-9244.98
26,Long,12/16/2020 13:00,18751.02,6 days 15:07:45.520089600,20319.51,1568.49
27,Long,12/16/2020 13:00,18751.02,6 days 15:07:45.520089600,20319.51,1568.49
28,Long,12/17/2020 5:00,20649.0,10 days 03:32:35.869149600,22280.0,1631.0
29,Long,12/17/2020 5:00,20649.0,10 days 03:32:35.869149600,22280.0,1631.0
30,Long,12/19/2020 16:00,22172.72,12 days 06:49:42.945308400,23966.48,1793.76
31,Long,12/19/2020 16:00,22172.72,12 days 06:49:42.945308400,23966.48,1793.76
32,Short,2/9/2021 0:00,23481.41,37 days 21:04:33.562466400,46768.22,-23286.81
33,Short,2/9/2021 0:00,23481.41,37 days 21:04:33.562466400,46768.22,-23286.81
34,Short,2/28/2021 17:00,46599.51,39 days 06:10:36.377428800,43119.02,3480.49
35,Short,2/28/2021 17:00,46599.51,39 days 06:10:36.377428800,43119.02,3480.49
36,Long,3/1/2021 10:00,44405.32,35 days 05:20:52.006023600,47615.66,3210.34
37,Long,3/1/2021 10:00,44405.32,35 days 05:20:52.006023600,47615.66,3210.34
38,Long,3/9/2021 1:00,49188.0,28 days 18:46:34.420576800,53575.35,4387.35
39,Long,3/9/2021 1:00,49188.0,28 days 18:46:34.420576800,53575.35,4387.35
40,Long,3/11/2021 18:00,53592.7,33 days 13:25:23.459775600,57519.86,3927.16
41,Long,3/11/2021 18:00,53592.7,33 days 13:25:23.459775600,57519.86,3927.16
42,Long,3/13/2021 20:00,57562.49,31 days 12:34:57.783856800,61648.26,4085.77
43,Long,3/13/2021 20:00,57562.49,31 days 12:34:57.783856800,61648.26,4085.77
44,Short,3/15/2021 9:00,60293.09,36 days 23:53:59.844231600,55867.91,4425.18
45,Short,3/15/2021 9:00,60293.09,36 days 23:53:59.844231600,55867.91,4425.18
46,Long,4/10/2021 4:00,56855.58,19 days 23:19:28.254615600,61074.09,4218.51
47,Long,4/10/2021 4:00,56855.58,19 days 23:19:28.254615600,61074.09,4218.51
48,Long,10/20/2021 13:00,60851.92,24 days 15:32:42.193089600,66040.59,5188.67
49,Long,10/20/2021 13:00,60851.92,24 days 15:32:42.193089600,66040.59,5188.67
